Text,all_locs,display_name,address_type,lat,lon,bounding_box
Management of the potato 230 On the potato disease 231 The lazy bed system 234 Utility of the potato 236 Indian corn 239 Is the potato disease progressing ? 239 The failure of the potato crop in Ireland 241 { Indian corn 243 The lazy bed system 243,"['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"Royal Agricultural Improvement Society of Ireland 374 Royal Agricultural Improvement Society of Ireland 375 The potato crop 379 Editorial - Farmers Gazette 381 Royal Dublin Society’s sectional meeting 384 Editorial - Farmers Gazette 385 Suspension of public works 389 Royal Agricultural Improvement Society of Ireland 391 Editorial - Farmers Gazette 392 The late potato disease and its cause 394 Observations on potato planting 395 The famine 396 Employment of the people 397 1847 To Lord John Russell 399 Great Meeting of Irish landlords 402 To the Right Hon. Lord John Russell 421 Queen’s speech 423 Editorial - Farmers Gazette 426 The state of Ireland 428 The potato disease — Important communication 438 The appearance of the potato disease 439 Potatoes from Australia 439 Editorial — Farmers Gazette 439 The potato disease 442 Potato failure 443 Potato Disease 445 Royal Agricultural Improvement Society of Ireland 445 The potato disease 447 Royal Agricultural Improvement Society of Ireland 455 The potato Crop 456 Potato panic - our crops and prospects 457 The crops in Waterford 459 Potato panic - our crops and prospects 460 Crops and prospects of July 461 Potato pruning _ 463 The crops — prospects and precautions 463 The potato crop 465 Prospects and precautions 466 The potato 467 Agricultural crops and prospects 467 The potato panic — groundless fears of immediate danger 469 Harvest, crops and prospects 470 Potato harvesting 470 The potato crop 472 Fungus in potato stalks 472 Potato planting and storage 473 Potatoes ; 474","['Waterford', None, 'Waterford, Ireland']","Waterford, County Waterford, Munster, Éire / Ireland",city,52.2609997,-7.1119081,"['52.2102427', '52.2798229', '-7.1869522', '-7.0338797']"
"In the middle of the eighteenth century agriculture in Ireland was very backward and tillage played a subservient role to grazing. This was further aggravated by the system of land tenure. In the late 18"" century, most of the land in Ireland was in the hands of the landed gentry. The estates were normally managed by the landlords agents who were responsible for renting most of the land to middlemen, large - farmers, smaller farmers and cottiers. In general, the farmers produced grain which they gave to the landlord in lieu of the rent. Potatoes, milk, beef, poultry and pork were sold or used on farm. Currency, as we know it to-day, was not in normal use by farmers or labourers. The very small farmers produced only potatoes and pigs. The pigs in this situation were used to pay the landlord. Without potatoes they could not feed themselves or the pigs and therefore could not pay the rent.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"In the middle of the eighteenth century agriculture in Ireland was very backward and tillage played a subservient role to grazing. This was further aggravated by the system of land tenure. In the late 18"" century, most of the land in Ireland was in the hands of the landed gentry. The estates were normally managed by the landlords agents who were responsible for renting most of the land to middlemen, large - farmers, smaller farmers and cottiers. In general, the farmers produced grain which they gave to the landlord in lieu of the rent. Potatoes, milk, beef, poultry and pork were sold or used on farm. Currency, as we know it to-day, was not in normal use by farmers or labourers. The very small farmers produced only potatoes and pigs. The pigs in this situation were used to pay the landlord. Without potatoes they could not feed themselves or the pigs and therefore could not pay the rent.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"According to the 1841 census there were a total of 695,309 farms in Ireland of which 45% were under 5 acres and only 7% over 30 acres.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"Contrary to public opinion, it appears from the Gazette that most of the landlords ©","['Gazette', None, 'Gazette, Ireland']","Gazette, Shire of Southern Grampians, Victoria, 3289, Australia",city_district,-37.9179185,142.15816215649903,"['-37.9623130', '-37.8733780', '142.0744360', '142.2168520']"
"were not “absentee landlords” and only a few, whether absentee or otherwise were “pad” landlords. The fact that nearly ail landlords were anglo-saxon and protestant would not have helped their public profile or endeared them to their catholic tenants. It is highly probable that the current day “landlords” are as bad as those during the famine period, except on a much smaller scale. The famine resulted in rents not being paid while at the same time the cost of providing relief fell largely on the landlord. This eventually lead to the bankruptcy of many landlords and the eventual redistribution of land in Ireland.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['Dublin', None, 'Dublin, Ireland']","Dublin, County Dublin, Leinster, Éire / Ireland",city,53.3493795,-6.2605593,"['53.2987342', '53.4105416', '-6.3870259', '-6.1148829']"
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['Dublin', None, 'Dublin, Ireland']","Dublin, County Dublin, Leinster, Éire / Ireland",city,53.3493795,-6.2605593,"['53.2987342', '53.4105416', '-6.3870259', '-6.1148829']"
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['UK', None, 'UK, Ireland']",,,,,
"In 1758 the Irish Parliament made its first real effort to promote tillage. In this year the first bounties were granted for the inland carriage of corn to Dublin, and this seems to have had some effect in checking the influx of British corn into Ireland. In 1767, a small bounty was given by the Irish Parliament on the carriage of Irish corn by sea to Dublin. This further promoted tillage in Ireland. At the same time the English population was rising due to the industrial revolution with a consequent increase in the demand for grain which was accompanied by a decline in exports from the UK, Towards the end of the 18"" century ‘Fosters Corn Laws’ were passed and much attention was focussed on the promotion of tillage. The Corn Laws effectively protected the United Kingdom growers from cheap imports and also guaranteed a minimum price for home produced grain.","['the United Kingdom', None, 'the United Kingdom, Ireland']","The (Oval) Banqueting Suite, 372, Stratford Road, Sparkhill, Sparkbrook, Birmingham, West Midlands Combined Authority, England, B11 4AB, United Kingdom",building,52.45777545,-1.869209938214711,"['52.4576816', '52.4580336', '-1.8696421', '-1.8688657']"
"The Act of Union (1801) meant that Ireland was part of the United Kingdom from that time. The Napoleonic wars of 1793-1815 also increased the demand for grain. Corn mills sprung up all over the country and the export of corn to England became increasingly profitable to all classes connected with agriculture. The Torys were in power at the time and their grain policy resulted in higher prices for bread. This was in the height of the industrial revolution and the high price for bread resulted in the workers demanding higher wages. This did not suit the industrialists and the Corn Laws were eventually repealed in 1846. However, the export of grain from Ireland continued for many years after the repeal of the Corn Laws. One of the reasons for","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"The Act of Union (1801) meant that Ireland was part of the United Kingdom from that time. The Napoleonic wars of 1793-1815 also increased the demand for grain. Corn mills sprung up all over the country and the export of corn to England became increasingly profitable to all classes connected with agriculture. The Torys were in power at the time and their grain policy resulted in higher prices for bread. This was in the height of the industrial revolution and the high price for bread resulted in the workers demanding higher wages. This did not suit the industrialists and the Corn Laws were eventually repealed in 1846. However, the export of grain from Ireland continued for many years after the repeal of the Corn Laws. One of the reasons for","['the United Kingdom', None, 'the United Kingdom, Ireland']","The (Oval) Banqueting Suite, 372, Stratford Road, Sparkhill, Sparkbrook, Birmingham, West Midlands Combined Authority, England, B11 4AB, United Kingdom",building,52.45777545,-1.869209938214711,"['52.4576816', '52.4580336', '-1.8696421', '-1.8688657']"
"The Act of Union (1801) meant that Ireland was part of the United Kingdom from that time. The Napoleonic wars of 1793-1815 also increased the demand for grain. Corn mills sprung up all over the country and the export of corn to England became increasingly profitable to all classes connected with agriculture. The Torys were in power at the time and their grain policy resulted in higher prices for bread. This was in the height of the industrial revolution and the high price for bread resulted in the workers demanding higher wages. This did not suit the industrialists and the Corn Laws were eventually repealed in 1846. However, the export of grain from Ireland continued for many years after the repeal of the Corn Laws. One of the reasons for","['England', None, 'England, Ireland']","England, United Kingdom",state,52.5310214,-1.2649062,"['49.6740000', '55.9170000', '-6.7047494', '2.0919117']"
"The Act of Union (1801) meant that Ireland was part of the United Kingdom from that time. The Napoleonic wars of 1793-1815 also increased the demand for grain. Corn mills sprung up all over the country and the export of corn to England became increasingly profitable to all classes connected with agriculture. The Torys were in power at the time and their grain policy resulted in higher prices for bread. This was in the height of the industrial revolution and the high price for bread resulted in the workers demanding higher wages. This did not suit the industrialists and the Corn Laws were eventually repealed in 1846. However, the export of grain from Ireland continued for many years after the repeal of the Corn Laws. One of the reasons for","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
CQ  this was that grain was used to pay the rent to the landlord and the main outlet for this grain was the export trade to England. Ireland became known as the breadbasket of England.,"['England', 'England, Ireland', 'England, Ireland']","England, United Kingdom",state,52.5310214,-1.2649062,"['49.6740000', '55.9170000', '-6.7047494', '2.0919117']"
CQ  this was that grain was used to pay the rent to the landlord and the main outlet for this grain was the export trade to England. Ireland became known as the breadbasket of England.,"['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
CQ  this was that grain was used to pay the rent to the landlord and the main outlet for this grain was the export trade to England. Ireland became known as the breadbasket of England.,"['England', None, 'England, Ireland']","England, United Kingdom",state,52.5310214,-1.2649062,"['49.6740000', '55.9170000', '-6.7047494', '2.0919117']"
"At the start of the famine the Prime Minister was Sir Robert Peel and the government's chief representative in Ireland was the Lord Lieutenant, Baron William B. Heyetsbury. In December 1845 Sir Robert Peel was replaced by Lord John Russell. The Lord Lieutenant for Ireland at the end of the above period was the Ear! of Bessborough (family name Ponsonby). His family home was in Piltown, Co. Kilkenny and the currently (2011) occupied by Teagasc as horticultural college.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"At the start of the famine the Prime Minister was Sir Robert Peel and the government's chief representative in Ireland was the Lord Lieutenant, Baron William B. Heyetsbury. In December 1845 Sir Robert Peel was replaced by Lord John Russell. The Lord Lieutenant for Ireland at the end of the above period was the Ear! of Bessborough (family name Ponsonby). His family home was in Piltown, Co. Kilkenny and the currently (2011) occupied by Teagasc as horticultural college.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"At the start of the famine the Prime Minister was Sir Robert Peel and the government's chief representative in Ireland was the Lord Lieutenant, Baron William B. Heyetsbury. In December 1845 Sir Robert Peel was replaced by Lord John Russell. The Lord Lieutenant for Ireland at the end of the above period was the Ear! of Bessborough (family name Ponsonby). His family home was in Piltown, Co. Kilkenny and the currently (2011) occupied by Teagasc as horticultural college.","['Piltown', 'Piltown, Co.', 'Piltown, Ireland']","Piltown, The Municipal District of Piltown, County Kilkenny, Leinster, E32 ND23, Éire / Ireland",village,52.3497374,-7.3302765,"['52.3415321', '52.3599706', '-7.3413877', '-7.3147138']"
"At the start of the famine the Prime Minister was Sir Robert Peel and the government's chief representative in Ireland was the Lord Lieutenant, Baron William B. Heyetsbury. In December 1845 Sir Robert Peel was replaced by Lord John Russell. The Lord Lieutenant for Ireland at the end of the above period was the Ear! of Bessborough (family name Ponsonby). His family home was in Piltown, Co. Kilkenny and the currently (2011) occupied by Teagasc as horticultural college.","['Co.', None, 'Co., Ireland']",,,,,
"I spent all of my working life (1964-2008) engaged in potato research at Oak Park Research Centre in Carlow. As much of this period was devoted to research on different aspects of late blight and it’s control, it was very natural to take an interest in the famine period, especially from a pathological prospective. A major scientific conference entitled “Phytophthora 150”, was organised by the European Association of Potato Research in 1995 to mark the 150"" anniversary of the first outbreak of late blight in Ireland. The conference covered all aspects of research on Phytophthora infestans, including the scientific controversy of the famine period.","['Carlow', None, 'Carlow, Ireland']","Carlow, County Carlow, Leinster, Éire / Ireland",town,52.8408344,-6.9261131,"['52.8176276', '52.8511515', '-6.9577920', '-6.8772491']"
"I spent all of my working life (1964-2008) engaged in potato research at Oak Park Research Centre in Carlow. As much of this period was devoted to research on different aspects of late blight and it’s control, it was very natural to take an interest in the famine period, especially from a pathological prospective. A major scientific conference entitled “Phytophthora 150”, was organised by the European Association of Potato Research in 1995 to mark the 150"" anniversary of the first outbreak of late blight in Ireland. The conference covered all aspects of research on Phytophthora infestans, including the scientific controversy of the famine period.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"At the time of the conference there were some missing details and some disputed facts which appeared would never be resolved. Imagine my surprise and excitement when recently, an old rugby friend, Mr. Tom Corrigan of Castledermot, Co. Kildare, presented me with bound editions of the Farmers Gazette from 1844 to 1847 which he had picked up at an auction.","['Co. Kildare', None, 'Co. Kildare, Ireland']","County Kildare, Leinster, Éire / Ireland",county,53.15436455,-6.8184175660976445,"['52.8575209', '53.4512373', '-7.1688618', '-6.4601259']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['Dublin', None, 'Dublin, Ireland']","Dublin, County Dublin, Leinster, Éire / Ireland",city,53.3493795,-6.2605593,"['53.2987342', '53.4105416', '-6.3870259', '-6.1148829']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['the British Isles', None, 'the British Isles, Ireland']","The British Isles Connection Shop, Water Street, Old Town, Celebration, Osceola County, Florida, 34746, United States",shop,28.3311539,-81.5157531,"['28.3311039', '28.3312039', '-81.5158031', '-81.5157031']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['Europe', None, 'Europe, Ireland']",Europe,continent,51.0,10.0,"['26.0000000', '76.0000000', '-15.0000000', '35.0000000']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['America', None, 'America, Ireland']",United States,country,39.7837304,-100.445882,"['-14.7608358', '71.5889534', '-180.0000000', '180.0000000']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"The Farmers Gazette and Journal of Practical Horticulture was an important and influential periodical, published at 23 Bachelors Walk, Dublin every Saturday prior to and during the period of the great famine. It seemd to be the equivalent of the present day /rish Farmers Journal. It dealt with all aspects of agriculture and horticulture, and was especially interested in the improvement of agriculture through the use of scientific information such as it was at the time. Given the absence of modern means of communication at the time of the famine, it is extraordinary how well informed people were of what was going on, not alone in Ireland, but also in the rest of the British Isles as well as Europe and America. It regularly reported on the meetings of learned societies in Ireland as well as other parts of the United Kingdom,  Europe and North America.","['the United Kingdom', 'the United Kingdom, Europe', 'the United Kingdom, Ireland']","The (Oval) Banqueting Suite, 372, Stratford Road, Sparkhill, Sparkbrook, Birmingham, West Midlands Combined Authority, England, B11 4AB, United Kingdom",building,52.45777545,-1.869209938214711,"['52.4576816', '52.4580336', '-1.8696421', '-1.8688657']"
